0  -172	0	-25	-18	-158	-4
217952	7516	-1420	-4905	-1015	2246	-13
218496	7660	-1444	-4317	-172	161	14
219008	6940	-1716	-3797	-83	231	37
219520	5180	-4428	-2513	-21955	11412	-2650
220064	3172	-6816	-10441	32597	-10719	-6025
220576	6384	-1008	-1113	2976	-6251	5593
221088	6928	-2260	-2149	-2007	4933	-1045
221632	6412	-2136	-3365	-3362	3202	287
222144	5612	-5720	-4649	-8017	658	624
222656	4416	-7648	-4629	362	-5572	-3242
223200	3800	-6500	-3197	235	-549	-1715
223712	3596	-6360	-3897	5162	801	-2995
224224	3364	-4596	-2713	1147	2490	2351
224736	3808	-2932	-2625	11006	-6936	576
225280	3540	-9496	-6033	32598	8654	-12461
225792	4464	-5180	-2645	32597	-20685	349
226304	4128	-4408	-1537	2061	-1443	-140
226848	4096	-4516	-3429	1166	-12867	-6038
227360	-116	-5396	351	6840	-23442	-19330
227872	1952	-5604	-1769	-647	1600	8465
228416	2420	-6904	-2225	-4417	862	-1472
228928	668	-5868	979	5401	-15802	-4470
229440	1564	-7176	-2057	5395	-11344	20
229984	2760	-4800	-3369	-112	-2095	1778
230496	2928	-6508	-6941	-1173	-6882	6033
231008	1724	-5564	-345	18029	-13176	503
231520	4516	-3188	279	-4227	-7339	-3070
232064	4196	-2944	-1493	681	-259	682
232576	3728	-2896	-1557	413	-970	586
233088	4048	-3228	-1813	-225	-4	-190
233632	4192	-3428	-1561	120	-460	204
234144	4036	-4264	-1349	-1034	-4891	-1436
234656	4368	-3336	-1393	-2678	-1314	-540
235200	3916	-3168	-1489	-184	-501	-611
235712	3704	-3736	-1429	-1205	928	-527
236224	3972	-3244	-3909	5160	-1251	3130
236736	3176	-2344	271	1377	3309	2939
237280	3152	-1800	-389	-3167	-155	3740
237792	3856	-4164	-4009	873	-2925	-6640
238304	2236	-340	-25	-237	2896	2831
238848	2504	-2400	-1077	-111	-5147	517
239360	2616	-2496	-2729	5923	6914	-888
239872	2880	-624	-1721	-6154	5807	2004
240416	-80	4924	1583	10099	-8240	-13229
240928	-264	2032	-2493	2265	-5771	7087
241440	1216	-5916	9219	-1587	15722	29548
241952	2356	-64	-2885	736	9537	5436
242496	3012	-3068	-3437	-662	6667	-9168
243008	4364	-3044	-2489	3574	8115	1984
243520	1436	-7292	-3473	-8210	11458	-7489
244064	636	-2192	-3221	13722	-15006	19
244576	9488	2384	-8253	-7139	4239	-8192
245088	10576	1556	-6249	-5397	9939	3465
245632	5352	-6676	6207	-1079	9169	23576
246144	4948	-3148	5291	-5191	-2823	-7253
246656	-2580	-5220	-1225	-10417	-32516	12638
247200	-4604	-25608	10107	1128	-5114	32554
247712	4632	-1316	-3133	8230	4360	6722
248224	4492	-1452	-1861	-4727	-273	-2850
248736	4088	-1408	-3445	-4073	-2938	-3769
249280	3492	1148	-2037	-1580	-983	1632
249792	4000	-1792	-537	4172	-3004	3242
250304	-1032	-4148	2431	-7473	6447	-1531
250848	-1280	-7592	-6129	-2640	2428	3
251360	-1024	-2500	-3589	-2117	-4103	47
251872	308	-4112	-1757	-1971	-1267	943
252416	-700	-5896	-1405	423	-2304	-1967
252928	1024	-8288	5251	13029	-16982	-1971
253440	-1620	-1040	-1157	-5561	7534	-8933
253984	-1528	-4692	-2273	-1499	948	-458
254496	-2140	-4924	-2689	-259	-55	73
255008	-2820	-5008	-2593	-655	41	274
255520	-580	-3088	-2637	-1120	5202	2229
256064	-3432	-5804	-3377	-370	135	1082
256576	-3732	-4932	-3101	767	-1248	951
257088	-2836	-4888	-2453	1465	-6003	-3663
257632	-3012	-5008	-2325	-700	654	-1021
258144	-2848	-4972	-2717	121	172	-260
258656	-2860	-5028	-2505	207	-95	169
259200	-3800	-6796	-1593	2056	-8835	663
259712	-3700	-4208	-1981	-192	-1920	3103
260224	-3904	-8432	2583	15505	-7507	311
260736	2604	-3464	-8937	-23893	28618	-13077
261280	-2848	740	9371	22800	-22917	13064
261792	-576	-2188	-2865	-18539	26736	-8784
262304	5488	3508	-6717	-177	2017	-769
262848	-12	-2300	1159	10987	-11150	3977
263360	4144	-668	-1405	-3015	2008	-805
263872	408	-3516	-5	2667	-3451	-2755
264416	3408	-884	-929	-12604	9001	-9168
264928	1568	-5004	67	24101	-22151	22392
265440	940	-2688	6979	-2240	-461	-19109
265984	8484	-4764	-3569	578	-10348	923
266496	5208	3460	-5193	5524	4274	5390
267008	3756	-736	659	-3437	-2413	-1039
267520	2476	-1696	879	3775	540	2025
268064	2424	772	-329	390	11467	-5466
268576	1704	-2656	1655	-4631	7008	580
269088	972	-2132	-377	-587	1597	-183
269632	700	-1884	-217	-314	524	108
270144	484	-2132	-609	-122	125	326
270656	1532	-2444	315	-2057	303	-1336
271200	1316	240	-2309	3831	5888	2347
271712	84	-752	-393	-355	1101	-3921
272224	1088	-984	-645	3073	3535	524
272736	544	-704	-2089	2632	4615	-653
273280	-2200	-544	711	-3652	-4441	769
273792	-492	928	-773	-5380	-1275	-1828
274304	2396	920	-1193	12939	-12822	7922
274848	-472	-1416	4091	-12451	8699	-8303
275360	-3208	-6412	1251	623	-1468	1272
275872	-2604	-6816	-2629	13249	-8382	9641
276416	612	-2236	-1425	-1722	2745	561
276928	-2128	-5340	-597	-2589	-4657	-9157
277440	1512	-2888	-277	819	8955	2035
277952	-28	-1268	-897	-1280	1222	360
278496	-548	-2236	-1089	339	50	-45
279008	-980	-2280	-725	-247	628	-450
279520	-1584	-1616	1339	2798	-3916	5633
280064	4412	-432	-2237	-899	-9908	4798
280576	-3468	-5636	-5	-10389	15118	-14139
281088	5516	-2684	-813	-632	-2220	-4211
281632	-4748	-6492	2547	21231	-25093	-962
282144	-8580	-9784	3323	-10989	27318	5686
282656	-8324	-6548	-2337	1854	22076	-7558
283168	-3320	-6652	-9505	1139	622	4376
283712	-3580	-6080	-10525	7335	-4585	13212
284224	-5256	-3420	-4713	5013	-22352	2344
284736	-5108	-2280	-4585	5344	-18225	10903
285280	-6436	-7904	-5913	3072	7261	-20717
285792	-5092	-5664	-6361	-4747	-3901	8640
286304	-4804	-6376	-3993	-4190	5444	-7304
286848	-4152	-6116	-3393	1851	-3804	-7154
287360	-1220	-4292	-105	8256	-15998	7954
287872	-4060	-2160	-781	7617	-11156	-4176
288416	-4820	-3784	-2605	-21781	30703	-10666
288928	-2256	-3048	-7377	13329	-24768	4599
289440	-6080	-5960	-5809	-355	-3505	-1513
289984	60	1888	-3705	8491	-9017	-5149
290496	-5332	-3184	-5965	-1412	3864	-5725
291008	-5680	-2980	-4209	2593	-3875	4593
291552	-5732	-4732	-5349	-2905	1569	-448
292064	-10800	-7316	1227	26740	-32516	32554
292576	-5340	-6216	1447	-2668	-1080	5575
293120	-908	-8296	-8869	-16069	8874	-9207
293632	-4424	-7328	-2341	9298	-18069	21402
294144	-1680	-5828	-3049	32598	21507	-6404
294656	-8052	-12728	-1069	22051	-8405	32553
295200	-3368	-6368	-9937	17344	-17249	25842
295712	-6260	-7736	-6993	32598	-32517	4465
296224	-7616	-3660	-7205	-24381	-32517	1204
296768	-7520	-5144	-7069	32598	-32517	-23413
297280	-6428	-4696	-6045	-13032	30079	-11271
297792	-4256	-3520	-5917	-6677	10350	-13367
298336	-8260	-9600	-1685	19670	-32516	21660
298848	-5884	-5264	-3009	25271	-23951	14306
299360	-2884	-4364	-7465	6898	-1804	-2579
299904	-3760	-4980	-6357	-5637	3257	-12667
300416	-2628	-15336	-7797	-17289	22601	-25220
300928	-13144	-15908	-4113	12294	-32516	30804
301472	-7632	-7316	-4857	22117	-18214	20928
301984	-3152	-620	-2441	-17359	5897	-7062
302496	-5272	-4544	-7093	32597	-20167	8469
303040	-2544	-6796	-5937	2330	-9887	-10919
303552	-6332	-4616	-4389	-1560	12294	-32572
304064	-6460	-9900	-3429	2687	-6893	23629
304608	-4768	-7252	-9937	-9031	-16122	-25416
305120	-8008	-12184	-6037	-13725	-32517	2842
305632	-3120	-7232	-8441	-1620	1456	7274
306144	-7020	-13864	-7645	9803	-17613	-2239
306688	-5916	-7760	-7605	5736	-10460	7929
307200	-3076	-4632	-4645	-21372	19886	-8586
307712	-4908	-9904	-8389	4140	367	-5380
308256	-2896	-10116	-7145	-3248	4119	4586
308768	-4964	-7916	-5937	-9833	-32517	-8244
309280	-4164	-6516	-4397	-19877	-14658	1718
309824	-5572	-5584	-11537	22686	-32516	17290
310336	-3752	-6724	-8193	-7887	3396	-13113
310848	-9572	-4376	-7561	2424	30725	4034
311392	-6052	-6636	-8437	13760	17071	-14001
311904	-7320	-7560	-5909	-17113	-32517	-17329
312416	-5172	-1780	-2449	-1661	-9746	-1309
312960	-5928	-4944	-7409	12090	-32516	10218
313472	-4920	-4996	-6661	-2167	30738	-12995
313984	-6988	-4688	-4941	11597	-32517	-3126
314528	-7412	-11488	-461	-5627	-4865	-7016
315040	-864	2032	-7657	-180	9139	18368
315552	-6132	-9996	-5089	-2175	3721	5567
316096	-504	-4504	-6229	-578	2055	-10617
316608	-6388	-4584	-4429	-235	-7907	32554
317120	-5012	-5344	-6053	3665	-11345	-7509
317632	-2628	-10296	-4941	2108	-4938	-10144
318176	-3364	-7712	-5529	-12404	14436	-5154
